Sr No.,"Date of 
Encashment","Bond
Number",Name of the Political Party,Name of the Purchaser,Denominations,"Account no. of
Political Party","Pay Branch
Code",Pay Teller
16072,15-07-2023,TL15248,Bharat Rashtra Samithi,Abhinandanstockbrokingpvtltd,1000000,*******7477,847,6013147
16073,15-07-2023,TL15250,Bharat Rashtra Samithi,Abhinandanstockbrokingpvtltd,1000000,*******7477,847,6013147
16074,15-07-2023,TL15260,Bharat Rashtra Samithi,Abhinandanstockbrokingpvtltd,1000000,*******7477,847,6013147
16075,15-07-2023,TL15256,Bharat Rashtra Samithi,Abhinandanstockbrokingpvtltd,1000000,*******7477,847,6013147
17577,16-10-2023,OC15605,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,10000000,*******4012,691,8212066
17666,17-10-2023,TL15337,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,8212066
17667,17-10-2023,TL15339,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,8212066
17668,17-10-2023,TL15333,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,8212066
17669,17-10-2023,TL15335,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,8212066
17670,17-10-2023,TL15331,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,8212066
17689,17-10-2023,TL15736,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,8212066
17690,17-10-2023,TL15730,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,8212066
17691,17-10-2023,TL15732,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,8212066
17692,17-10-2023,TL15734,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,8212066
17693,17-10-2023,TL15728,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,8212066
19867,15-01-2024,OC15755,All India Trinamool Congress,Abhinandanstockbrokingpvtltd,10000000,*******0688,1,3490777
19868,15-01-2024,OC15760,All India Trinamool Congress,Abhinandanstockbrokingpvtltd,10000000,*******0688,1,3490777
19933,15-01-2024,OC15757,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,10000000,*******4012,691,8212066
19934,15-01-2024,OC15758,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,10000000,*******4012,691,8212066
19944,15-01-2024,OC17822,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,10000000,*******4012,691,8212066
12775,18-11-2022,OL8019,"President, All India Congress Committee",Abhinav Jain,100000,*******4012,691,8212066
12776,18-11-2022,OL8017,"President, All India Congress Committee",Abhinav Jain,100000,*******4012,691,8212066
11695,15-10-2022,TL13615,Aam Aadmi Party,Abhishek Kaushik,1000000,*******5086,691,5972302
4608,15-10-2019,OL1208,Bharatiya Janata Party,Abhishek Rathi,100000,*******8244,691,3723135
4609,15-10-2019,OL1206,Bharatiya Janata Party,Abhishek Rathi,100000,*******8244,691,3723135
4610,15-10-2019,OL1210,Bharatiya Janata Party,Abhishek Rathi,100000,*******8244,691,3723135
4611,15-10-2019,OL1204,Bharatiya Janata Party,Abhishek Rathi,100000,*******8244,691,3723135
9028,13-01-2022,TL14468,"President, All India Congress Committee",Abhishek Tibrewal,1000000,*******4012,691,7516991
16642,09-10-2023,OC16363,"President, All India Congress Committee",Abhrajit Mitra,10000000,*******4012,691,7516991
16643,09-10-2023,OC16365,"President, All India Congress Committee",Abhrajit Mitra,10000000,*******4012,691,7516991
16644,09-10-2023,OC16367,"President, All India Congress Committee",Abhrajit Mitra,10000000,*******4012,691,7516991
16670,09-10-2023,TL15577,"President, All India Congress Committee",Abhrajit Mitra,1000000,*******4012,691,7516991
16671,09-10-2023,TL15300,"President, All India Congress Committee",Abhrajit Mitra,1000000,*******4012,691,7516991
16940,13-10-2023,OC16361,All India Trinamool Congress,Abhrajit Mitra,10000000,*******0688,1,3490777
16983,13-10-2023,OL29685,All India Trinamool Congress,Abhrajit Mitra,100000,*******0688,1,3490777
16984,13-10-2023,OL29691,All India Trinamool Congress,Abhrajit Mitra,100000,*******0688,1,3490777
16985,13-10-2023,OL29687,All India Trinamool Congress,Abhrajit Mitra,100000,*******0688,1,3490777
16986,13-10-2023,OL29683,All India Trinamool Congress,Abhrajit Mitra,100000,*******0688,1,3490777
16987,13-10-2023,OL29689,All India Trinamool Congress,Abhrajit Mitra,100000,*******0688,1,3490777
19376,24-11-2023,TL3313,Bharatiya Janata Party,Abis Agrotech Pvt Ltd,1000000,*******8244,691,8212066
19377,24-11-2023,TL3309,Bharatiya Janata Party,Abis Agrotech Pvt Ltd,1000000,*******8244,691,8212066
19378,24-11-2023,TL3311,Bharatiya Janata Party,Abis Agrotech Pvt Ltd,1000000,*******8244,691,8212066
19379,24-11-2023,TL3307,Bharatiya Janata Party,Abis Agrotech Pvt Ltd,1000000,*******8244,691,8212066
19380,24-11-2023,TL3305,Bharatiya Janata Party,Abis Agrotech Pvt Ltd,1000000,*******8244,691,8212066
13006,14-12-2022,OC14871,Bharatiya Janata Party,ABNL Investment Limited,10000000,*******8244,691,7516991
13007,14-12-2022,OC14883,Bharatiya Janata Party,ABNL Investment Limited,10000000,*******8244,691,5972302
13008,14-12-2022,OC14885,Bharatiya Janata Party,ABNL Investment Limited,10000000,*******8244,691,5972302
13009,14-12-2022,OC14877,Bharatiya Janata Party,ABNL Investment Limited,10000000,*******8244,691,5972302
13010,14-12-2022,OC14881,Bharatiya Janata Party,ABNL Investment Limited,10000000,*******8244,691,5972302
13011,14-12-2022,OC14875,Bharatiya Janata Party,ABNL Investment Limited,10000000,*******8244,691,5972302
13012,14-12-2022,OC14879,Bharatiya Janata Party,ABNL Investment Limited,10000000,*******8244,691,5972302
13013,14-12-2022,OC14887,Bharatiya Janata Party,ABNL Investment Limited,10000000,*******8244,691,5972302
13014,14-12-2022,OC14873,Bharatiya Janata Party,ABNL Investment Limited,10000000,*******8244,691,5972302
13015,14-12-2022,OC14889,Bharatiya Janata Party,ABNL Investment Limited,10000000,*******8244,691,5972302
1513,18-04-2019,TL11043,Bharatiya Janata Party,Ace Comercial Company Private Limited,1000000,*******8244,691,2511282
1514,18-04-2019,TL11041,Bharatiya Janata Party,Ace Comercial Company Private Limited,1000000,*******8244,691,2511282
1588,18-04-2019,OL17302,Bharatiya Janata Party,Ace Comercial Company Private Limited,100000,*******8244,691,3627829
1589,18-04-2019,OL17308,Bharatiya Janata Party,Ace Comercial Company Private Limited,100000,*******8244,691,3627829
1590,18-04-2019,OL17310,Bharatiya Janata Party,Ace Comercial Company Private Limited,100000,*******8244,691,3627829
1591,18-04-2019,OL17304,Bharatiya Janata Party,Ace Comercial Company Private Limited,100000,*******8244,691,3627829
1592,18-04-2019,OL17306,Bharatiya Janata Party,Ace Comercial Company Private Limited,100000,*******8244,691,3627829
19065,21-11-2023,OC16814,Bharatiya Janata Party,Ace Urban Developers Pvt Ltd,10000000,*******8244,691,8212066
19066,21-11-2023,OC16808,Bharatiya Janata Party,Ace Urban Developers Pvt Ltd,10000000,*******8244,691,8212066
19067,21-11-2023,OC16802,Bharatiya Janata Party,Ace Urban Developers Pvt Ltd,10000000,*******8244,691,8212066
19068,21-11-2023,OC16810,Bharatiya Janata Party,Ace Urban Developers Pvt Ltd,10000000,*******8244,691,8212066
19069,21-11-2023,OC16812,Bharatiya Janata Party,Ace Urban Developers Pvt Ltd,10000000,*******8244,691,8212066
19070,21-11-2023,OC16804,Bharatiya Janata Party,Ace Urban Developers Pvt Ltd,10000000,*******8244,691,8212066
19071,21-11-2023,OC16806,Bharatiya Janata Party,Ace Urban Developers Pvt Ltd,10000000,*******8244,691,8212066
19072,21-11-2023,OC16800,Bharatiya Janata Party,Ace Urban Developers Pvt Ltd,10000000,*******8244,691,8212066
19073,21-11-2023,OC16798,Bharatiya Janata Party,Ace Urban Developers Pvt Ltd,10000000,*******8244,691,8212066
19074,21-11-2023,OC16796,Bharatiya Janata Party,Ace Urban Developers Pvt Ltd,10000000,*******8244,691,8212066
7438,11-10-2021,OL3015,"President, All India Congress Committee",Achint Maheshwari,100000,*******4012,691,7516991
7439,11-10-2021,OL3017,"President, All India Congress Committee",Achint Maheshwari,100000,*******4012,691,7516991
7440,11-10-2021,OL3011,"President, All India Congress Committee",Achint Maheshwari,100000,*******4012,691,7516991
7441,11-10-2021,OL3009,"President, All India Congress Committee",Achint Maheshwari,100000,*******4012,691,7516991
7442,11-10-2021,OL3013,"President, All India Congress Committee",Achint Maheshwari,100000,*******4012,691,7516991
11306,11-10-2022,OC12285,Bharat Rashtra Samithi,Achintya Solar Power Private Limited,10000000,*******7477,847,3889823
11312,11-10-2022,OC12290,Bharat Rashtra Samithi,Achintya Solar Power Private Limited,10000000,*******7477,847,3889823
11313,11-10-2022,OC12288,Bharat Rashtra Samithi,Achintya Solar Power Private Limited,10000000,*******7477,847,3889823
11314,11-10-2022,OC12289,Bharat Rashtra Samithi,Achintya Solar Power Private Limited,10000000,*******7477,847,3889823
10750,18-04-2022,OC11989,Ysr Congress Party (Yuvajana Sramika Rythu Congress Party),Achintya Solar Power Pvt Ltd,10000000,*******6354,847,6370918
2249,22-04-2019,TL11556,All India Trinamool Congress,Acropolis Maintenance Services Private Limited,1000000,*******0688,1,3476510
2250,22-04-2019,TL11555,All India Trinamool Congress,Acropolis Maintenance Services Private Limited,1000000,*******0688,1,3476510
2258,22-04-2019,OL1125,All India Trinamool Congress,Acropolis Maintenance Services Private Limited,100000,*******0688,1,3476510
2259,22-04-2019,OL1129,All India Trinamool Congress,Acropolis Maintenance Services Private Limited,100000,*******0688,1,3476510
2260,22-04-2019,OL1124,All India Trinamool Congress,Acropolis Maintenance Services Private Limited,100000,*******0688,1,3476510
2261,22-04-2019,OL1128,All India Trinamool Congress,Acropolis Maintenance Services Private Limited,100000,*******0688,1,3476510
2262,22-04-2019,OL1126,All India Trinamool Congress,Acropolis Maintenance Services Private Limited,100000,*******0688,1,3476510
2494,23-04-2019,OC6410,Bharatiya Janata Party,Adit Build Well Pvt Ltd,10000000,*******8244,691,3300196
9367,14-01-2022,OC9381,Bharatiya Janata Party,Aditya Kumar Garg,10000000,*******8244,691,5642191
17539,16-10-2023,TL14917,Bharatiya Janata Party,Aditya Kumar Garg,1000000,*******8244,691,8212066
17540,16-10-2023,TL14909,Bharatiya Janata Party,Aditya Kumar Garg,1000000,*******8244,691,8212066
17541,16-10-2023,TL14915,Bharatiya Janata Party,Aditya Kumar Garg,1000000,*******8244,691,8212066
17542,16-10-2023,TL14919,Bharatiya Janata Party,Aditya Kumar Garg,1000000,*******8244,691,8212066
17543,16-10-2023,TL14921,Bharatiya Janata Party,Aditya Kumar Garg,1000000,*******8244,691,8212066
17544,16-10-2023,TL14913,Bharatiya Janata Party,Aditya Kumar Garg,1000000,*******8244,691,8212066
17545,16-10-2023,TL14911,Bharatiya Janata Party,Aditya Kumar Garg,1000000,*******8244,691,8212066
17565,16-10-2023,OL28852,Bharatiya Janata Party,Aditya Kumar Garg,100000,*******8244,691,8212066
17566,16-10-2023,OL28844,Bharatiya Janata Party,Aditya Kumar Garg,100000,*******8244,691,8212066
17567,16-10-2023,OL28848,Bharatiya Janata Party,Aditya Kumar Garg,100000,*******8244,691,8212066
17568,16-10-2023,OL28846,Bharatiya Janata Party,Aditya Kumar Garg,100000,*******8244,691,8212066
17569,16-10-2023,OL28850,Bharatiya Janata Party,Aditya Kumar Garg,100000,*******8244,691,8212066
6230,13-04-2021,TL13997,"President, All India Congress Committee",Agarwal M Bishan,1000000,*******4012,691,7516991
6231,13-04-2021,TL13999,"President, All India Congress Committee",Agarwal M Bishan,1000000,*******4012,691,7516991
6232,13-04-2021,TL13995,"President, All India Congress Committee",Agarwal M Bishan,1000000,*******4012,691,7516991
19257,22-11-2023,OC16919,Telugu Desam Party,Aic Vmr Projects Pvt Ltd,10000000,*******3067,847,7620160
19258,22-11-2023,OC16917,Telugu Desam Party,Aic Vmr Projects Pvt Ltd,10000000,*******3067,847,7620160
3115,10-05-2019,OC6462,Bharatiya Janata Party,Ais Distribution,10000000,*******8244,691,4567455
3116,10-05-2019,OC6460,Bharatiya Janata Party,Ais Distribution,10000000,*******8244,691,4567455
3467,10-05-2019,TL12716,Bharatiya Janata Party,Ais Distribution,1000000,*******8244,691,4567455
3468,10-05-2019,TL12712,Bharatiya Janata Party,Ais Distribution,1000000,*******8244,691,4567455
3469,10-05-2019,TL12713,Bharatiya Janata Party,Ais Distribution,1000000,*******8244,691,4567455
3470,10-05-2019,TL12715,Bharatiya Janata Party,Ais Distribution,1000000,*******8244,691,4567455
3471,10-05-2019,TL12714,Bharatiya Janata Party,Ais Distribution,1000000,*******8244,691,4567455
2396,23-04-2019,OC7192,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",10000000,*******8244,691,4567455
2397,23-04-2019,OC7198,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",10000000,*******8244,691,4567455
2398,23-04-2019,OC7194,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",10000000,*******8244,691,4567455
2399,23-04-2019,OC7196,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",10000000,*******8244,691,4567455
2515,23-04-2019,TL12990,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",1000000,*******8244,691,4567455
2516,23-04-2019,TL12992,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",1000000,*******8244,691,4567455
2517,23-04-2019,TL12994,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",1000000,*******8244,691,4567455
2518,23-04-2019,TL12996,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",1000000,*******8244,691,4567455
2519,23-04-2019,TL12988,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",1000000,*******8244,691,4567455
2520,23-04-2019,TL13000,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",1000000,*******8244,691,4567455
2521,23-04-2019,TL13004,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",1000000,*******8244,691,4567455
2522,23-04-2019,TL13002,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",1000000,*******8244,691,4567455
2523,23-04-2019,TL12998,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",1000000,*******8244,691,4567455
2524,23-04-2019,TL13006,Bharatiya Janata Party,"Aishwarya Business Corporation Pvt, Ltd",1000000,*******8244,691,4567455
11760,15-10-2022,OC11386,Bharatiya Janata Party,Ajanta Pharma Ltd,10000000,*******8244,691,5972302
11761,15-10-2022,OC11388,Bharatiya Janata Party,Ajanta Pharma Ltd,10000000,*******8244,691,5972302
11762,15-10-2022,OC11390,Bharatiya Janata Party,Ajanta Pharma Ltd,10000000,*******8244,691,5972302
12411,17-11-2022,OC13534,"President, All India Congress Committee",Ajanta Pharma Ltd,10000000,*******4012,691,5972302
5850,12-04-2021,OC9151,Bharatiya Janata Party,Ajay Gupta,10000000,*******8244,691,7516991
5851,12-04-2021,OC9153,Bharatiya Janata Party,Ajay Gupta,10000000,*******8244,691,7516991
19323,23-11-2023,OC14188,Bharatiya Janata Party,Ajay Gupta,10000000,*******8244,691,8212066
19324,23-11-2023,OC14190,Bharatiya Janata Party,Ajay Gupta,10000000,*******8244,691,8212066
9368,14-01-2022,OC9387,Bharatiya Janata Party,Ajay Metalloys Pvt Ltd,10000000,*******8244,691,5642191
9369,14-01-2022,OC9389,Bharatiya Janata Party,Ajay Metalloys Pvt Ltd,10000000,*******8244,691,5642191
9370,14-01-2022,OC9383,Bharatiya Janata Party,Ajay Metalloys Pvt Ltd,10000000,*******8244,691,5642191
9371,14-01-2022,OC9329,Bharatiya Janata Party,Ajay Metalloys Pvt Ltd,10000000,*******8244,691,5642191
9372,14-01-2022,OC9385,Bharatiya Janata Party,Ajay Metalloys Pvt Ltd,10000000,*******8244,691,5642191
14091,13-04-2023,OC13843,"President, All India Congress Committee",Ajay Metalloys Pvt Ltd,10000000,*******4012,691,5972302
14092,13-04-2023,OC13841,"President, All India Congress Committee",Ajay Metalloys Pvt Ltd,10000000,*******4012,691,5972302
14575,17-04-2023,TL14020,"President, All India Congress Committee",Ajay Metalloys Pvt Ltd,1000000,*******4012,691,5972302
14576,17-04-2023,TL14014,"President, All India Congress Committee",Ajay Metalloys Pvt Ltd,1000000,*******4012,691,5972302
14577,17-04-2023,TL14022,"President, All India Congress Committee",Ajay Metalloys Pvt Ltd,1000000,*******4012,691,5972302
14578,17-04-2023,TL14016,"President, All India Congress Committee",Ajay Metalloys Pvt Ltd,1000000,*******4012,691,5972302
14579,17-04-2023,TL14018,"President, All India Congress Committee",Ajay Metalloys Pvt Ltd,1000000,*******4012,691,5972302
16830,10-10-2023,TL9490,"President, All India Congress Committee",Ajay Saraf,1000000,*******4012,691,7516991
16831,10-10-2023,TL9496,"President, All India Congress Committee",Ajay Saraf,1000000,*******4012,691,7516991
16832,10-10-2023,TL9494,"President, All India Congress Committee",Ajay Saraf,1000000,*******4012,691,7516991
16833,10-10-2023,TL9488,"President, All India Congress Committee",Ajay Saraf,1000000,*******4012,691,7516991
16834,10-10-2023,TL9492,"President, All India Congress Committee",Ajay Saraf,1000000,*******4012,691,7516991
17753,17-10-2023,OL29756,"President, All India Congress Committee",Ajit Kumar Jain,100000,*******4012,691,7516991
17754,17-10-2023,OL29754,"President, All India Congress Committee",Ajit Kumar Jain,100000,*******4012,691,7516991
14374,17-04-2023,OC13779,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14375,17-04-2023,OC13797,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14376,17-04-2023,OC13785,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14377,17-04-2023,OC13777,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14378,17-04-2023,OC13795,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14379,17-04-2023,OC13787,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14380,17-04-2023,OC13793,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14381,17-04-2023,OC14927,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14382,17-04-2023,OC14929,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14383,17-04-2023,OC13781,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14384,17-04-2023,OC13789,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14385,17-04-2023,OC13791,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14386,17-04-2023,OC13799,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14387,17-04-2023,OC14931,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
14388,17-04-2023,OC13783,Bharatiya Janata Party,Aksentt Tech Services Limited (Unity Tel Ecom Infrastructure),10000000,*******8244,691,5972302
16844,12-10-2023,OC15964,Bharat Rashtra Samithi,Akshat Greentech Private Limited,10000000,*******7477,847,7620160
16845,12-10-2023,OC15966,Bharat Rashtra Samithi,Akshat Greentech Private Limited,10000000,*******7477,847,7620160
16846,12-10-2023,OC15962,Bharat Rashtra Samithi,Akshat Greentech Private Limited,10000000,*******7477,847,7620160
16847,12-10-2023,OC15960,Bharat Rashtra Samithi,Akshat Greentech Private Limited,10000000,*******7477,847,7620160
16848,12-10-2023,OC15958,Bharat Rashtra Samithi,Akshat Greentech Private Limited,10000000,*******7477,847,7620160
